Performing initial speed check (None compression)...

Performing Avro speed check with all compressors...

Running benchmarks...
ID                             | Ratio (%)  | Speed      | Ser+Comp   | De+Deser   | Status    
EasyJSON/Flate/len=100    | 44.58      | 22.93      | 34.17      | 69.75      | OK        
XML/XZ/len=100            | 44.58      | 0.89       | 1.23       | 3.30       | OK        
Msgp/DataDogZstdBest/len=100 | 44.58      | 1.48       | 1.49       | 196.86     | OK        
CBORCanonical/DataDogZstdBest/len=100 | 44.58      | 1.32       | 1.34       | 96.36      | OK        
MsgPack/GozstdBest/len=100 | 44.58      | 1.40       | 1.42       | 105.36     | OK        
GoccyYAML/Flate/len=100   | 44.58      | 1.78       | 3.62       | 3.48       | OK        
Msgp/GozstdBest/len=100   | 44.58      | 1.45       | 1.45       | 236.54     | OK        
UgorjiSimple/Brotli/len=100 | 44.58      | 9.06       | 10.57      | 63.53      | OK        
EasyJSON/ZstdBest/len=100 | 44.58      | 23.96      | 30.71      | 108.97     | OK        
UgorjiSimple/DataDogZstdBest/len=100 | 44.58      | 1.21       | 1.22       | 140.50     | OK        
GoccyYAML/Zlib/len=100    | 44.58      | 1.75       | 3.59       | 3.42       | OK        
GoccyYAML/Pzip/len=100    | 44.58      | 1.51       | 3.03       | 2.99       | OK        
UgorjiSimple/GozstdBest/len=100 | 44.58      | 1.22       | 1.23       | 148.14     | OK        
XML/ZstdBest/len=100      | 45.78      | 6.19       | 16.30      | 9.99       | OK        
SegmentioJSON/DataDogZstd/len=100 | 45.78      | 15.87      | 26.46      | 39.67      | OK        
JsonIterFastest/DataDogZstd/len=100 | 45.78      | 34.06      | 67.51      | 68.74      | OK        
Msgp/XZ/len=100           | 45.78      | 0.97       | 1.24       | 4.35       | OK        
JSON/Gzip/len=100         | 45.78      | 14.28      | 23.78      | 35.74      | OK        
GoccyJSON/DataDogZstd/len=100 | 45.78      | 33.26      | 52.89      | 89.62      | OK        
JSON/DataDogZstd/len=100  | 45.78      | 21.57      | 39.42      | 47.64      | OK        
YAML/DataDogZstd/len=100  | 45.78      | 3.72       | 7.44       | 7.46       | OK        
UgorjiSimple/XZ/len=100   | 45.78      | 0.96       | 1.22       | 4.59       | OK        
GoccyYAML/Gozstd/len=100  | 45.78      | 1.91       | 4.01       | 3.66       | OK        
Bencode/Brotli/len=100    | 45.78      | 4.85       | 6.72       | 17.45      | OK        
GoccyYAML/DataDogZstd/len=100 | 45.78      | 1.96       | 4.06       | 3.78       | OK        
JSON/Pzip/len=100         | 45.78      | 5.27       | 9.57       | 11.75      | OK        
Bencode/GozstdBest/len=100 | 45.78      | 1.01       | 1.06       | 21.58      | OK        
Bencode/DataDogZstdBest/len=100 | 45.78      | 1.01       | 1.06       | 21.64      | OK        
BurntSushiTOML/Gzip/len=100 | 45.78      | 3.83       | 7.74       | 7.59       | OK        
BurntSushiTOML/Pzip/len=100 | 45.78      | 2.63       | 5.31       | 5.23       | OK        
BurntSushiTOML/Zlib/len=100 | 45.78      | 3.92       | 8.09       | 7.62       | OK        
EasyJSON/DataDogZstd/len=100 | 45.78      | 32.11      | 48.18      | 96.26      | OK        
BurntSushiTOML/Flate/len=100 | 45.78      | 3.85       | 7.68       | 7.71       | OK        
YAML/Flate/len=100        | 45.78      | 3.38       | 6.50       | 7.03       | OK        
YAML/Zlib/len=100         | 45.78      | 3.41       | 6.63       | 7.04       | OK        
TOML/Gzip/len=100         | 45.78      | 8.77       | 12.16      | 31.47      | OK        
MsgPack/XZ/len=100        | 45.78      | 0.94       | 1.18       | 4.68       | OK        
JsonIterFastest/Pzip/len=100 | 45.78      | 5.62       | 10.06      | 12.74      | OK        
JsonIterFastest/Gzip/len=100 | 45.78      | 15.26      | 22.15      | 49.00      | OK        
YAML/Pzip/len=100         | 45.78      | 2.43       | 5.05       | 4.68       | OK        
BurntSushiTOML/DataDogZstd/len=100 | 45.78      | 4.12       | 8.91       | 7.66       | OK        
YAML/Gzip/len=100         | 45.78      | 3.35       | 6.36       | 7.07       | OK        
UgorjiBinc/XZ/len=100     | 45.78      | 0.98       | 1.26       | 4.43       | OK        
GoccyJSON/Pzip/len=100    | 45.78      | 5.78       | 10.00      | 13.72      | OK        
GoccyJSON/Gzip/len=100    | 45.78      | 18.06      | 25.31      | 63.06      | OK        
SegmentioJSON/Gzip/len=100 | 45.78      | 10.75      | 16.67      | 30.26      | OK        
SegmentioJSON/Pzip/len=100 | 45.78      | 4.94       | 8.73       | 11.37      | OK        
EasyJSON/Pzip/len=100     | 45.78      | 5.70       | 9.88       | 13.49      | OK        
EasyJSON/Gzip/len=100     | 45.78      | 20.80      | 29.96      | 67.99      | OK        
CBORCanonical/XZ/len=100  | 45.78      | 0.96       | 1.24       | 4.29       | OK        
TOML/DataDogZstd/len=100  | 45.78      | 11.12      | 15.55      | 38.96      | OK        
Sonic/DataDogZstd/len=100 | 45.78      | 39.23      | 63.56      | 102.47     | OK        
ShamatonMsgPack/XZ/len=100 | 45.78      | 0.95       | 1.21       | 4.35       | OK        
TOML/Pzip/len=100         | 45.78      | 4.30       | 6.98       | 11.18      | OK        
TOML/Zlib/len=100         | 45.78      | 8.74       | 12.15      | 31.14      | OK        
JsonIter/Gzip/len=100     | 45.78      | 18.26      | 28.14      | 51.97      | OK        
TOML/Flate/len=100        | 45.78      | 8.98       | 12.64      | 31.03      | OK        
JsonIter/Pzip/len=100     | 45.78      | 5.90       | 10.94      | 12.80      | OK        
CBOR/XZ/len=100           | 45.78      | 0.98       | 1.24       | 4.67       | OK        
UgorjiCBOR/XZ/len=100     | 45.78      | 0.95       | 1.24       | 4.04       | OK        
Sonic/Pzip/len=100        | 45.78      | 5.69       | 10.51      | 12.42      | OK        
Sonic/Gzip/len=100        | 45.78      | 19.50      | 28.19      | 63.22      | OK        
UgorjiMsgPack/XZ/len=100  | 45.78      | 0.97       | 1.22       | 4.63       | OK        
JsonIter/DataDogZstd/len=100 | 45.78      | 34.04      | 68.12      | 68.02      | OK        
JSON/Bzip2/len=100        | 46.99      | 3.59       | 4.65       | 15.71      | OK        
ShamatonMsgPack/Flate/len=100 | 46.99      | 23.52      | 31.26      | 94.93      | OK        
UgorjiCBOR/Zlib/len=100   | 46.99      | 22.72      | 31.79      | 79.63      | OK        
UgorjiCBOR/Pzip/len=100   | 46.99      | 6.12       | 11.35      | 13.25      | OK        
